term,estimate,std_error,statistic,p_value,conf_low,conf_high,tau,gear,effort_type
intercept,1.592305789384292,0.34278674339529597,4.645179021838868,6.0058476618607415e-6,0.9165430437640376,2.2680685350045464,0.2,drifting_longlines,total_f_hours_length
coefficient,0.007843134199734057,0.009160585760813987,0.8561826071520928,0.3928773290740102,-0.010215856424879512,0.025902124824347627,0.2,drifting_longlines,total_f_hours_length
intercept,1.8983129173744018,0.1683402035761894,11.276646202433994,0,1.5664504974915698,2.2301753372572337,0.5,drifting_longlines,total_f_hours_length
coefficient,0.01679312145314248,0.004258352570488015,3.9435723499094757,1.0954019405007287e-4,0.00839829265565422,0.02518795025063074,0.5,drifting_longlines,total_f_hours_length
intercept,2.104448468853456,0.20152885878787788,10.44241743594908,0,1.7071586157299186,2.5017383219769935,0.6,drifting_longlines,total_f_hours_length
coefficient,0.01330205822807334,0.004542570505816675,2.928310790342232,0.0037859083563474005,0.004346928030274713,0.022257188425871967,0.6,drifting_longlines,total_f_hours_length
intercept,2.344567448499465,0.20212065294123358,11.599841057218168,0,1.9461109445365383,2.743023952462392,0.7,drifting_longlines,total_f_hours_length
coefficient,0.011109882778379494,0.004586842777118333,2.4221198149196725,0.016283110544393242,0.002067475134220717,0.02015229042253827,0.7,drifting_longlines,total_f_hours_length
intercept,2.8803785106207194,0.2048839418504701,14.058585971188013,0,2.4764745156558017,3.284282505585637,0.8,drifting_longlines,total_f_hours_length
coefficient,0.002283506898471324,0.004735463652008723,0.4822140061201166,0.6301585431562624,-0.007051888886003593,0.011618902682946242,0.8,drifting_longlines,total_f_hours_length
intercept,3.0456819063857345,0.19557839755324394,15.572690769984364,0,2.6601226703268894,3.4312411424445797,0.9,drifting_longlines,total_f_hours_length
coefficient,0.0026388689756940862,0.004354948283759353,0.6059472590145472,0.5452072877587333,-0.005946386627010824,0.011224124578398997,0.9,drifting_longlines,total_f_hours_length
intercept,2.1604559308144102,0.18208242955725878,11.865263090280875,0,1.801502368876553,2.5194094927522674,0.2,drifting_longlines,total_f_hours_tonnage
coefficient,0.0018893906828830582,5.104056744096347e-4,3.701743098895675,2.7391166787316124e-4,8.831874192945818e-4,0.0028955939464715345,0.2,drifting_longlines,total_f_hours_tonnage
intercept,2.6974476920236685,0.11053087389246036,24.40447267835878,0,2.4795493973651705,2.9153459866821665,0.5,drifting_longlines,total_f_hours_tonnage
coefficient,0.0019999438376161497,2.766910152435437e-4,7.22807654544112,9.051648319768901e-12,0.0014544808529702896,0.00254540682226201,0.5,drifting_longlines,total_f_hours_tonnage
intercept,2.9184047372642294,0.11990076654835849,24.340167467462987,0,2.6820348286669886,3.1547746458614703,0.6,drifting_longlines,total_f_hours_tonnage
coefficient,0.0017805359725210608,2.624627163101319e-4,6.783957727607829,1.1807710365019375e-10,0.0012631223641652875,0.002297949580876834,0.6,drifting_longlines,total_f_hours_tonnage
intercept,3.083249958893865,0.11123834807103099,27.717509405345204,0,2.863956964170158,3.3025429536175723,0.7,drifting_longlines,total_f_hours_tonnage
coefficient,0.0015869984728781922,2.448080338198403e-4,6.482624152956106,6.378586547839404e-10,0.0011043889429839227,0.0020696080027724616,0.7,drifting_longlines,total_f_hours_tonnage
intercept,3.4185194863725568,0.12548843972488943,27.241708430410313,0,3.171134153637263,3.6659048191078507,0.8,drifting_longlines,total_f_hours_tonnage
coefficient,0.0012039471427892448,2.647000206570681e-4,4.548345481049348,9.156689334544055e-6,6.821229585946903e-4,0.001725771326983799,0.8,drifting_longlines,total_f_hours_tonnage
intercept,3.665964039146037,0.11111083558646756,32.99375816765546,0,3.446922419915489,3.885005658376585,0.9,drifting_longlines,total_f_hours_tonnage
coefficient,0.0010399502613851906,2.578911404519267e-4,4.0325164314012065,7.733240839646882e-5,5.315489637831896e-4,0.0015483515589871915,0.9,drifting_longlines,total_f_hours_tonnage
intercept,2.751245838520746,0.27070299799732445,10.163337158711256,0,2.217587508089475,3.2849041689520173,0.2,drifting_longlines,total_f_hours_kw
coefficient,5.439655216377326e-4,4.138961494327921e-4,1.3142560576685456,0.19020059705901549,-2.719808465676866e-4,0.0013599118898431517,0.2,drifting_longlines,total_f_hours_kw
intercept,3.1848537486693558,0.13418438620220857,23.734905668308937,0,2.920325405649958,3.4493820916887534,0.5,drifting_longlines,total_f_hours_kw
coefficient,8.595417569237363e-4,2.0703532461769449e-4,4.151667153955208,4.8061208707261827e-5,4.5139657015758495e-4,0.0012676869436898876,0.5,drifting_longlines,total_f_hours_kw
intercept,3.243046082487456,0.12303756150910908,26.358179101650656,0,3.0004923607295058,3.4855998042454064,0.6,drifting_longlines,total_f_hours_kw
coefficient,9.384488011457716e-4,1.4210780348499776e-4,6.603780919355658,3.2556402018713015e-10,6.583003960298127e-4,0.0012185972062617304,0.6,drifting_longlines,total_f_hours_kw
intercept,3.5439962140720405,0.13626347553919416,26.00840907696254,0,3.275369197034987,3.812623231109094,0.7,drifting_longlines,total_f_hours_kw
coefficient,6.941497359897178e-4,1.608605390936935e-4,4.3152269655481454,2.4596154835077044e-5,3.7703257304694477e-4,0.0010112668989324908,0.7,drifting_longlines,total_f_hours_kw
intercept,3.987956228949676,0.17224468152228178,23.152855540760424,0,3.648396601435852,4.3275158564635,0.8,drifting_longlines,total_f_hours_kw
coefficient,2.7166191401251446e-4,2.2761922030685628e-4,1.193492859022554,0.23402939135249556,-1.7706194195388745e-4,7.203857699789164e-4,0.8,drifting_longlines,total_f_hours_kw
intercept,4.249161125960304,0.1265641109107282,33.57319144727721,0,3.9996552371418694,4.498667014778739,0.9,drifting_longlines,total_f_hours_kw
coefficient,1.950576399531818e-4,1.4117396593701527e-4,1.3816827958223312,0.16854426860204752,-8.324981700026256e-5,4.733650969066262e-4,0.9,drifting_longlines,total_f_hours_kw
intercept,-0.8252605302020485,0.1816892255569361,-4.542154482041291,1.0206550445479579e-5,-1.183788866263999,-0.4667321941400978,0.2,seiners,total_f_hours_length
coefficient,0.01621536118370662,0.0026670495650679147,6.079887451695599,7.084282716007806e-9,0.010952457784633572,0.02147826458277967,0.2,seiners,total_f_hours_length
intercept,0.21321426923055364,0.3259870671581726,0.6540574480124994,0.5139142051779084,-0.4300577817547129,0.8564863202158202,0.5,seiners,total_f_hours_length
coefficient,0.010549759211654035,0.004740234834011168,2.2255773355276727,0.027291035057802393,0.0011958280560151746,0.019903690367292896,0.5,seiners,total_f_hours_length
intercept,0.9338167963836737,0.3018002306696289,3.0941553434592737,0.0022907305348833784,0.33827276126868555,1.5293608314986618,0.6,seiners,total_f_hours_length
coefficient,0.0036239675621527996,0.004319760995064339,0.8389277939898673,0.40262877868627167,-0.0049002402823040995,0.012148175406609698,0.6,seiners,total_f_hours_length
intercept,1.3278446329665454,0.26098909780777246,5.087739848599152,9.10011528132415e-7,0.8128334280890849,1.8428558378440059,0.7,seiners,total_f_hours_length
coefficient,-3.827201288964194e-4,0.003911928084032338,-0.09783414231427258,0.9221734591096471,-0.008102149073914487,0.007336708816121648,0.7,seiners,total_f_hours_length
intercept,1.705325907087103,0.27350168412238995,6.235156878682994,3.1559745927722815e-9,1.1656235476435972,2.2450282665306087,0.8,seiners,total_f_hours_length
coefficient,-0.001898458739786361,0.0046786707012998075,-0.40576883071914843,0.6853970794394957,-0.011130905057816158,0.007333987578243436,0.8,seiners,total_f_hours_length
intercept,2.200337811008465,0.34872353351494956,6.309691201021677,2.131490761669852e-9,1.5121997674150167,2.8884758546019134,0.9,seiners,total_f_hours_length
coefficient,-0.004309087502464244,0.006181490423991865,-0.6970952322015463,0.4866475550112579,-0.01650705614536641,0.007888881140437922,0.9,seiners,total_f_hours_length
intercept,0.18242128506638047,0.19396274926805562,0.9404964909745381,0.34823040324325594,-0.2003264620271045,0.5651690321598655,0.2,seiners,total_f_hours_tonnage
coefficient,9.002122013186328e-4,1.4290239023318944e-4,6.299490161428778,2.249483710414779e-9,6.182221381625457e-4,0.00118220226447472,0.2,seiners,total_f_hours_tonnage
intercept,1.2711659395668433,0.17490627837281186,7.267697600067617,1.0907719172337238e-11,0.9260224300407847,1.616309449092902,0.5,seiners,total_f_hours_tonnage
coefficient,6.042681613753526e-4,8.475175147219552e-5,7.129860455728689,2.3882007482711742e-11,4.3702706966768724e-4,7.71509253083018e-4,0.5,seiners,total_f_hours_tonnage
intercept,1.7969107724621771,0.1972430366714044,9.110135408509896,0,1.4076900164111024,2.186131528513252,0.6,seiners,total_f_hours_tonnage
coefficient,3.842359675895437e-4,1.2044531579691512e-4,3.190127943517625,0.001679360387745188,1.4656057144673914e-4,6.219113637323483e-4,0.6,seiners,total_f_hours_tonnage
intercept,1.9225038571316984,0.1491065159115631,12.893493254660708,0,1.6282711590622412,2.2167365552011558,0.7,seiners,total_f_hours_tonnage
coefficient,4.3877714562786627e-4,1.0448021932546288e-4,4.199619300769709,4.20943398284912e-5,2.326057611039817e-4,6.449485301517508e-4,0.7,seiners,total_f_hours_tonnage
intercept,2.344665859865775,0.16987728393477264,13.80211530086654,0,2.009446092391058,2.679885627340492,0.8,seiners,total_f_hours_tonnage
coefficient,3.8076518402932653e-4,1.5333522644436708e-4,2.4832205414160025,0.01394031463514711,7.818794848734456e-5,6.833424195713084e-4,0.8,seiners,total_f_hours_tonnage
intercept,2.5887808585722754,0.12415907305181044,20.850516961350063,0,2.343777085058418,2.833784632086133,0.9,seiners,total_f_hours_tonnage
coefficient,5.308804911579737e-4,1.694305064232673e-4,3.1333229320093077,0.002019872335254469,1.9654235217442815e-4,8.652186301415193e-4,0.9,seiners,total_f_hours_tonnage
intercept,0.5452456676639771,0.14911405734747646,3.656567847211117,3.3587244640287395e-4,0.25099808803805307,0.839493247289901,0.2,seiners,total_f_hours_kw
coefficient,5.256170044611793e-4,6.624942626755196e-5,7.933910285327545,2.2293278334473143e-13,3.9488665161853913e-4,6.563473573038194e-4,0.2,seiners,total_f_hours_kw
intercept,1.285188139805825,0.2390671784577479,5.375845183336055,2.3552387373726447e-7,0.8134355775020023,1.7569407021096475,0.5,seiners,total_f_hours_kw
coefficient,4.560909861518571e-4,7.943295339967471e-5,5.741835933721241,3.943139326167966e-8,2.9934550758220263e-4,6.128364647215116e-4,0.5,seiners,total_f_hours_kw
intercept,2.2002013140638574,0.24899491684364847,8.836330243020306,8.881784197001252e-16,1.7088582916573807,2.691544336470334,0.6,seiners,total_f_hours_kw
coefficient,2.1947433234478946e-4,8.724043445658669e-5,2.515740937237149,0.012758182831218656,4.732230898091624e-5,3.916263557086627e-4,0.6,seiners,total_f_hours_kw
intercept,2.443822878259412,0.2027885558419926,12.051088722006448,0,2.043659119095543,2.8439866374232805,0.7,seiners,total_f_hours_kw
coefficient,1.6032077862394807e-4,7.494733620378021e-5,2.1391124320688233,0.03378172357051468,1.2426792841084973e-5,3.082147644068112e-4,0.7,seiners,total_f_hours_kw
intercept,2.760364876022926,0.19186156686857947,14.387273705075645,0,2.3817634035758193,3.1389663484700323,0.8,seiners,total_f_hours_kw
coefficient,1.5836716282617455e-4,9.206603829651172e-5,1.720147469755684,0.08713388945843703,-2.3307250816589014e-5,3.4004157646893814e-4,0.8,seiners,total_f_hours_kw
intercept,3.1870820362381966,0.1847805927228205,17.247926252834183,0,2.822453488549807,3.551710583926586,0.9,seiners,total_f_hours_kw
coefficient,1.5850055777695446e-4,1.0646081115800061e-4,1.4888159882768564,0.1382955345739343,-5.157913937229886e-5,3.6858025492620777e-4,0.9,seiners,total_f_hours_kw
intercept,0.7820991487496394,0.2806544364995532,2.786697971014916,0.005781630814667205,0.22903843990161288,1.3351598575976658,0.2,trawlers,total_f_hours_length
coefficient,-0.001686185433915574,0.003835239284337014,-0.4396558621001557,0.6606102457519758,-0.009243950006080474,0.005871579138249326,0.2,trawlers,total_f_hours_length
intercept,1.5710186887483415,0.10914410140884616,14.393986193201734,0,1.3559381261724015,1.7860992513242815,0.5,trawlers,total_f_hours_length
coefficient,-0.003884071518765328,0.001326411433569543,-2.928255457141827,0.0037606202740225747,-0.006497912428688968,-0.0012702306088416882,0.5,trawlers,total_f_hours_length
intercept,1.828013911240023,0.10551701745992668,17.324351609296265,0,1.6200809200506623,2.035946902429384,0.6,trawlers,total_f_hours_length
coefficient,-0.005679819906616287,0.0010430461004488376,-5.445415983217022,1.3549638544496645e-7,-0.007735257985095842,-0.0036243818281367322,0.6,trawlers,total_f_hours_length
intercept,2.1625111479115895,0.1362505908214283,15.871572628597283,0,1.89401424018221,2.431008055640969,0.7,trawlers,total_f_hours_length
coefficient,-0.008107076823935792,0.0012066306293503368,-6.718772610886508,1.4956724747605676e-10,-0.010484876368135408,-0.0057292772797361766,0.7,trawlers,total_f_hours_length
intercept,2.6522475912449415,0.16568771471543758,16.007509040728078,0,2.325741564506699,2.978753617983184,0.8,trawlers,total_f_hours_length
coefficient,-0.012024098780851184,0.0022133978917129775,-5.432416297977756,1.4451362639888998e-7,-0.016385844927541637,-0.007662352634160731,0.8,trawlers,total_f_hours_length
intercept,2.96416931371481,0.273129198846878,10.852626984698865,0,2.4259379206700458,3.5024007067595746,0.9,trawlers,total_f_hours_length
coefficient,-0.011297039363697671,0.004039327669052703,-2.7967623053336093,0.005610546937558247,-0.019256982743816983,-0.0033370959835783594,0.9,trawlers,total_f_hours_length
intercept,1.711421996263679,0.25430352048037386,6.729839968518092,1.4040368867540565e-10,1.210288691358135,2.212555301169223,0.2,trawlers,total_f_hours_tonnage
coefficient,4.6575023305692134e-5,5.9379526821097145e-5,0.7843616444775094,0.4336566132373949,-7.043892311303364e-5,1.635889697244179e-4,0.2,trawlers,total_f_hours_tonnage
intercept,2.5709728115091792,0.0796525687402778,32.277337092446075,0,2.4140085864696283,2.72793703654873,0.5,trawlers,total_f_hours_tonnage
coefficient,3.1834167657826106e-5,2.3591195406048342e-5,1.3494088413029048,0.17856796192272917,-1.4654900594840455e-5,7.832323591049267e-5,0.5,trawlers,total_f_hours_tonnage
intercept,2.7495398192535268,0.06919303478160153,39.73723407178306,0,2.6131872664809657,2.885892372026088,0.6,trawlers,total_f_hours_tonnage
coefficient,2.5303082800853754e-5,1.5797984672242203e-5,1.6016652329909176,0.11063891790785663,-5.828598957593845e-6,5.643476455930135e-5,0.6,trawlers,total_f_hours_tonnage
intercept,2.9078244853203405,0.06746431049861322,43.10167055483526,0,2.77487857556856,3.040770395072121,0.7,trawlers,total_f_hours_tonnage
coefficient,1.6733964308242426e-5,1.4687649051118336e-5,1.1393221781104772,0.25578569287676367,-1.220967790471608e-5,4.567760652120093e-5,0.7,trawlers,total_f_hours_tonnage
intercept,3.1312918035259765,0.06775294757169842,46.21631848876153,0,2.9977771023941937,3.2648065046577592,0.8,trawlers,total_f_hours_tonnage
coefficient,6.100234332230465e-6,1.043096655620748e-5,0.5848196616640677,0.5592575779418683,-1.4455142698324158e-5,2.6655611362785088e-5,0.8,trawlers,total_f_hours_tonnage
intercept,3.3595919724351133,0.17229652183144256,19.49889607012379,0,3.02006255795426,3.6991213869159667,0.9,trawlers,total_f_hours_tonnage
coefficient,-1.2788382631434195e-5,2.7772437758355357e-5,-0.46047029586327193,0.6456253866044825,-6.751705289458239e-5,4.1940287631714e-5,0.9,trawlers,total_f_hours_tonnage
intercept,1.8751750359123247,0.2127146258950978,8.81544946907922,4.440892098500626e-16,1.4559972625366566,2.294352809287993,0.2,trawlers,total_f_hours_kw
coefficient,4.412531561128799e-5,5.699451196228298e-5,0.774202885367079,0.4396271924408195,-6.818869438426658e-5,1.5643932560684257e-4,0.2,trawlers,total_f_hours_kw
intercept,2.8217895621415616,0.0804287261697092,35.08434979048934,0,2.663295832764032,2.980283291519091,0.5,trawlers,total_f_hours_kw
coefficient,-1.740730797265923e-5,2.3221297136487463e-5,-0.749626856344181,0.4542660272061103,-6.316745064083633e-5,2.835283469551787e-5,0.5,trawlers,total_f_hours_kw
intercept,2.932831203247573,0.07281009144621507,40.28055926030611,0,2.7893508389647965,3.07631156753035,0.6,trawlers,total_f_hours_kw
coefficient,4.778644558752723e-6,2.3520564627984306e-5,0.20316878588310697,0.839187543360429,-4.157123790846966e-5,5.112852702597511e-5,0.6,trawlers,total_f_hours_kw
intercept,3.1883849968459113,0.09193963129671066,34.67911445670527,0,3.007207751652903,3.3695622420389193,0.7,trawlers,total_f_hours_kw
coefficient,-5.572429956225391e-5,3.555416136462302e-5,-1.5673073818498366,0.11845441454182914,-1.2578771966018218e-4,1.4339120535674343e-5,0.7,trawlers,total_f_hours_kw
intercept,3.3602164415014064,0.10339794623057415,32.49790314024449,0,3.156459315303964,3.5639735676988487,0.8,trawlers,total_f_hours_kw
coefficient,-1.0462727143313319e-5,4.584668569648937e-5,-0.22821119966179984,0.8196902430703221,-1.0080870850703017e-4,7.988325422040354e-5,0.8,trawlers,total_f_hours_kw
intercept,3.82938145135752,0.21431133646980738,17.868310255706007,0,3.407057182621621,4.251705720093419,0.9,trawlers,total_f_hours_kw
coefficient,-5.7803558199935976e-5,2.6519018021269496e-5,-2.179702059615285,0.030321840181667614,-1.1006222579032073e-4,-5.544890609551222e-6,0.9,trawlers,total_f_hours_kw
